generation,best_fitness,average_fitness,overall_best_fitness
1,-197.80593924224377,-237.5103171208563,-197.80593924224377
2,-202.68206037580967,-227.5417735714775,-197.80593924224377
3,-196.21316902339458,-217.6341384032275,-196.21316902339458
4,-198.4744624545177,-217.30473975961408,-196.21316902339458
5,-194.16391849517822,-208.98050370257502,-194.16391849517822
6,-186.94071173667908,-210.26997222188893,-186.94071173667908
7,-189.80137705802917,-205.5510386283276,-186.94071173667908
8,-188.20601552724838,-201.4794742035156,-186.94071173667908
9,-186.3492133716742,-196.34152981714573,-186.3492133716742
10,-185.68902363379797,-194.96695091831492,-185.68902363379797
11,-182.3909709850947,-190.5367118719732,-182.3909709850947
12,-182.25069244702658,-191.5915847662837,-182.25069244702658
13,-181.7641019821167,-191.85175866639236,-181.7641019821167
14,-181.42381211121878,-189.65266614385965,-181.42381211121878
15,-181.26374334096909,-189.34551328731084,-181.26374334096909
16,-180.788125594457,-185.59292496502178,-180.788125594457
17,-179.81924762328467,-186.08204354997724,-179.81924762328467
18,-178.3423443635305,-187.8084219479933,-178.3423443635305
19,-175.53032835324606,-184.48964950977827,-175.53032835324606
20,-176.2174054980278,-184.17088567240475,-175.53032835324606
21,-174.6856982509295,-183.73729150567675,-174.6856982509295
22,-174.3597000837326,-184.58301785285585,-174.3597000837326
23,-174.5815654595693,-182.43075071135536,-174.3597000837326
24,-173.27477037906647,-181.06760222037946,-173.27477037906647
25,-171.92993263403574,-180.99149266723546,-171.92993263403574
26,-171.1741348107656,-183.2788753315496,-171.1741348107656
27,-169.52515443166098,-178.9706207299605,-169.52515443166098
28,-165.75036346912384,-180.25961375950527,-165.75036346912384
29,-166.38117829958597,-178.07892691111195,-165.75036346912384
30,-165.85345963637033,-177.48666325196,-165.75036346912384
31,-164.21936055024466,-178.799690748953,-164.21936055024466
32,-79.27010345458984,-173.52791878723852,-79.27010345458984
33,-4.879636685053508,-163.78707821015269,-4.879636685053508
34,-16.501558144887287,-145.63171826722095,-4.879636685053508
35,4.4626234372456866,-124.05080727425714,4.4626234372456866
36,0.4023071924845378,-104.4664992968552,4.4626234372456866
37,-0.300270954767863,-89.5886363166695,4.4626234372456866
38,7.824715693791707,-88.69662430857618,7.824715693791707
39,7.203460454940796,-85.19485410917551,7.824715693791707
40,8.418505748112997,-82.6101453544727,8.418505748112997
41,6.245660225550334,-79.35256909004917,8.418505748112997
42,6.749997615814209,-84.33083750835696,8.418505748112997
43,11.034444888432821,-68.16448397412896,11.034444888432821
44,11.051235516866049,-62.430735349763815,11.051235516866049
45,9.715460379918417,-82.40488880060148,11.051235516866049
46,13.081910053888956,-55.35279964844231,13.081910053888956
47,14.379705111185709,-65.6228584635537,14.379705111185709
48,16.881845076878864,-62.20737917769388,16.881845076878864
49,14.430059115091959,-64.34644489415611,16.881845076878864
50,16.218390782674152,-42.16975577767006,16.881845076878864
51,17.704568306605022,-56.465650217436895,17.704568306605022
52,17.008010546366375,-52.32120012848172,17.704568306605022
53,19.935713132222492,-42.01863223601444,19.935713132222492
54,21.12867784500122,-47.21426895118005,21.12867784500122
55,19.62467821439107,-50.10207158053139,21.12867784500122
56,20.895877679189045,-44.27612022773051,21.12867784500122
57,20.930212259292603,-27.390300559027434,21.12867784500122
58,21.254695971806843,-49.67317682590024,21.254695971806843
59,23.31792489687602,-45.660846730895955,23.31792489687602
60,21.464786450068157,-24.448703680466856,23.31792489687602
